"muscles_p1-final.Label-Analysis"
"Volume3d","Breadth3d","FeretShape3d","Length3d","Thickness3d","Width3d","Area3d","index"
0.0764737,0.379059,6.4032,2.80132,0.325932,0.435395,1.97147,113
0.0524055,0.33344,6.54321,2.37136,0.253994,0.361736,1.51254,114
0.00303842,0.160128,3.37343,0.454937,0.13099,0.136572,0.143485,115
0.0359653,0.271531,4.71587,2.28181,0.250569,0.475713,1.24564,116
0.0397619,0.288797,7.20234,2.47355,0.226381,0.342793,1.33291,117
0.0479557,0.283341,9.70389,2.61144,0.245389,0.268608,1.39534,118
0.0404617,0.270645,7.52277,2.57389,0.21218,0.341504,1.30509,119
0.0726189,0.650336,4.71858,2.58095,0.266587,0.544359,1.96907,120
0.0325479,0.232557,7.39968,2.27109,0.219997,0.306342,1.0711,121
0.0253163,0.232557,8.79081,2.22635,0.185521,0.252784,0.949988,122
0.0333643,0.29914,6.09826,1.76195,0.241251,0.281151,0.968401,123
0.0260161,0.355962,4.66281,1.96001,0.205008,0.410694,0.939367,124
0.0297194,0.247359,5.92935,2.0276,0.17802,0.337043,1.0026,125
0.0194319,0.219993,8.15497,1.71234,0.161529,0.204314,0.731099,126
0.0252171,0.324076,5.1844,1.529,0.256391,0.292973,0.798974,127
0.0275616,0.354672,5.20218,1.64251,0.18069,0.314224,1.00872,128
0.0340641,0.451814,4.35609,2.06701,0.203964,0.465586,1.204,129
0.0710209,0.540125,4.65453,2.61324,0.283341,0.550879,2.32466,130
0.0102467,0.182825,6.67516,1.35603,0.14329,0.196062,0.469741,131
0.118627,0.518237,5.61349,2.74759,0.298454,0.488544,2.97567,132
0,0,nan,-inf,0,-inf,0,133
0.0521022,0.32445,5.5952,2.19957,0.253994,0.385723,1.62825,134
0,0,nan,-inf,0,-inf,0,135
0.0323729,0.255107,5.99999,2.23893,0.186175,0.372455,1.10449,136
0.0226569,0.215486,6.55216,2.37114,0.163059,0.35187,0.955376,137
0.0256079,0.20899,9.30579,2.36969,0.170052,0.254169,0.968969,138
0.0325245,0.246606,5.91952,2.37418,0.22514,0.400135,1.12785,139
0.0656964,0.328363,6.0752,2.78156,0.273048,0.449242,1.83233,140
0.0413948,0.296037,5.76001,2.72968,0.212053,0.464989,1.39523,141
0.0201434,0.242398,6.29684,1.80543,0.189271,0.286183,0.804209,142
0.0230185,0.312554,6.33456,2.15477,0.147369,0.339523,0.945701,143
0.0260744,0.271922,7.71207,2.39299,0.174173,0.309709,1.03758,144
0.0577417,0.492949,7.52743,2.80677,0.227759,0.372174,2.2168,145
0.0315156,0.296086,6.82799,2.07953,0.198515,0.303989,1.13699,146
0.0184521,0.245253,7.68042,1.9595,0.169213,0.25465,0.750285,147
0.00512624,0.139569,7.25099,1.14341,0.126137,0.15732,0.291275,148
0.0106257,0.223326,4.49755,1.47295,0.134516,0.319978,0.490369,149
0.0199043,0.276597,5.44972,1.47233,0.186193,0.26966,0.701032,150
0.0152563,0.256922,4.37598,1.23771,0.138122,0.27752,0.564922,151
0.00815883,0.161021,7.06162,1.22684,0.141698,0.172836,0.390925,152
0.00556364,0.179091,4.58588,0.851693,0.116141,0.185705,0.262108,153
0.00767478,0.183357,4.86942,1.01224,0.125965,0.204872,0.341101,154
0.00687581,0.172173,5.01201,0.971216,0.14252,0.189326,0.317213,155
0.00707993,0.1952,4.76144,1.00762,0.143724,0.205925,0.331178,156
0.00647341,0.164897,6.12945,1.04538,0.129787,0.16596,0.305824,157
0.0082813,0.240262,4.09469,0.856748,0.141292,0.205652,0.334161,158
0.00345249,0.176565,3.48837,0.634567,0.125537,0.176322,0.178387,159
0.0259053,0.372509,4.86753,1.46579,0.207667,0.30043,0.922351,160
0.0246864,0.253888,6.39484,1.89858,0.204481,0.294122,0.897877,161
