"muscles_p1-final.Label-Analysis"
"Volume3d","Area3d","Length3d","index"
0.0082813,0.334161,0.856748,158
0.00345249,0.178387,0.634567,159
0.0259053,0.922351,1.46579,160
0.0246864,0.897877,1.89858,161
0.127456,2.9802,3.42272,162
0.0433252,1.51766,3.23104,163
0.0717791,2.00663,3.37079,164
0.0198518,0.654019,1.28958,165
0,0,-inf,166
0,0,-inf,167
0,0,-inf,168
0,0,-inf,169
0,0,-inf,170
0,0,-inf,171
0,0,-inf,172
0,0,-inf,173
0,0,-inf,174
0,0,-inf,175
0,0,-inf,176
0,0,-inf,177
0,0,-inf,178
0,0,-inf,179
0,0,-inf,180
0,0,-inf,181
0,0,-inf,182
0,0,-inf,183
0,0,-inf,184
0,0,-inf,185
0.0341225,0.974183,1.69426,186
0,0,-inf,187
0,0,-inf,188
0,0,-inf,189
0,0,-inf,190
0,0,-inf,191
0,0,-inf,192
0,0,-inf,193
0,0,-inf,194
0,0,-inf,195
0,0,-inf,196
0,0,-inf,197
0,0,-inf,198
0,0,-inf,199
0,0,-inf,200
0,0,-inf,201
0,0,-inf,202
0,0,-inf,203
0,0,-inf,204
0,0,-inf,205
0,0,-inf,206
0,0,-inf,207
0,0,-inf,208
0,0,-inf,209
0,0,-inf,210
0,0,-inf,211
0,0,-inf,212
0,0,-inf,213
0,0,-inf,214
0,0,-inf,215
0,0,-inf,216
0,0,-inf,217
0,0,-inf,218
0,0,-inf,219
0,0,-inf,220
0,0,-inf,221
0,0,-inf,222
0,0,-inf,223
0,0,-inf,224
0,0,-inf,225
0,0,-inf,226
0,0,-inf,227
0,0,-inf,228
0,0,-inf,229
0,0,-inf,230
0,0,-inf,231
0,0,-inf,232
0,0,-inf,233
0.0484923,1.10725,1.50035,234
0.0402635,1.0857,1.31974,235
0,0,-inf,236
0,0,-inf,237
0,0,-inf,238
0,0,-inf,239
0,0,-inf,240
0,0,-inf,241
0,0,-inf,242
0,0,-inf,243
0,0,-inf,244
0,0,-inf,245
0,0,-inf,246
0,0,-inf,247
0,0,-inf,248
0,0,-inf,249
0,0,-inf,250
0,0,-inf,251
0,0,-inf,252
0,0,-inf,253
0.217087,4.27823,4.38367,254
0,0,-inf,255
0,0,-inf,256
0,0,-inf,257
0,0,-inf,258
0,0,-inf,259
0,0,-inf,260
0,0,-inf,261
0,0,-inf,262
0,0,-inf,263
0,0,-inf,264
0,0,-inf,265
0,0,-inf,266
0,0,-inf,267
0,0,-inf,268
0,0,-inf,269
0,0,-inf,270
0,0,-inf,271
0,0,-inf,272
0,0,-inf,273
0,0,-inf,274
0,0,-inf,275
0,0,-inf,276
0.187857,4.01072,5.01292,277
0,0,-inf,278
0,0,-inf,279
0,0,-inf,280
0,0,-inf,281
0,0,-inf,282
0,0,-inf,283
0,0,-inf,284
0,0,-inf,285
0,0,-inf,286
0,0,-inf,287
0,0,-inf,288
0,0,-inf,289
0,0,-inf,290
0.0945585,2.45669,4.0502,291
0.175138,4.08415,4.65766,292
0,0,-inf,293
0,0,-inf,294
0,0,-inf,295
0,0,-inf,296
0,0,-inf,297
0,0,-inf,298
0,0,-inf,299
0,0,-inf,300
0,0,-inf,301
0.164512,3.81486,3.81126,302
0.262511,6.00118,5.08455,303
0.171557,3.60011,4.78414,304
0.156301,3.71917,4.88124,305
0.247646,5.57465,4.64941,306
0.192488,4.26023,4.34118,307
0.121216,3.0044,4.45222,308
0.0795763,2.44003,4.41208,309
0.0949084,2.52779,4.37644,310
0.158744,3.67623,4.03626,311
0.119624,2.82769,4.18475,312
0.0752082,2.193,4.05833,313
0.124902,3.0417,4.34745,314
0.0751091,2.17956,3.51647,315
0.120044,3.16301,3.90014,316
0.106753,2.9425,4.05131,317
0.132787,3.57051,3.36333,318
0.0791214,2.09929,3.27405,319
0.150551,3.30999,3.38696,320
0.0643667,1.88606,3.43878,321
0.0735403,2.3679,3.57603,322
0.0880851,2.45711,4.10078,323
0.051484,1.77273,4.09307,324
0.0603894,1.74269,3.25608,325
0.0892281,2.89695,3.44984,326
0.0344432,1.13996,2.47876,327
0,0,-inf,328
0,0,-inf,329
0.0193036,0.73531,1.10688,330
0,0,-inf,331
0.0371959,1.48194,2.43749,332
0,0,-inf,333
0,0,-inf,334
0,0,-inf,335
0,0,-inf,336
0,0,-inf,337
0,0,-inf,338
0,0,-inf,339
0.0557413,1.58652,2.77369,340
