"muscles_p1-combined.Label-Analysis"
"Length3d","VoxelFaceArea","Volume3d","OrientationPhi","index","Materials"
2.56359,2.5181,0.0814484,10.5425,221,""
2.00053,1.51306,0.0345424,7.41655,222,""
0.941218,0.480163,0.00825214,16.8303,223,""
1.30743,0.72316,0.0142123,6.97922,224,""
2.07211,1.53509,0.0373183,7.94588,225,""
1.62185,2.04053,0.0450923,28.3428,226,""
1.67894,2.25307,0.0594621,26.9619,227,""
1.4664,1.20008,0.0279815,30.1609,228,""
1.26993,1.18064,0.0263427,22.432,229,""
1.73985,1.94139,0.0486206,33.36,230,""
1.56775,2.29778,0.0782117,26.0829,231,""
1.52696,1.74634,0.0397386,28.6869,232,""
1.36319,1.17028,0.0228377,26.328,233,""
1.38815,2.1805,0.0537468,27.3724,234,""
1.49024,1.44567,0.0354521,25.5527,235,""
1.50035,1.65109,0.0484923,22.6712,236,""
1.31974,1.60573,0.0402635,25.0351,237,""
1.37754,1.13204,0.0213039,37.2957,238,""
1.56513,1.44956,0.0337609,23.7294,239,""
1.32905,1.29923,0.0301626,22.615,240,""
1.37919,0.987541,0.0198926,24.3299,241,""
1.44005,1.37245,0.0395228,15.8039,242,""
1.01021,0.719272,0.0135592,24.1199,243,""
1.64129,2.18179,0.0694871,23.6467,244,""
1.33281,1.10029,0.0244765,21.7182,245,""
1.37001,1.27914,0.0351489,23.21,246,""
1.30998,1.5163,0.04059,21.3101,247,""
1.44177,1.5163,0.0471801,21.4626,248,""
1.62993,2.18114,0.0549482,18.9264,249,""
1.47482,1.00568,0.0171925,25.6701,250,""
1.22153,1.40226,0.0307341,16.8575,251,""
1.4792,1.39642,0.0302151,22.3492,252,""
1.60349,1.49622,0.0304659,20.464,253,""
1.13019,0.68428,0.0125386,14.5637,254,""
5.29105,9.61945,0.265725,19.9123,255,""
3.14732,4.73748,0.152178,22.9268,256,""
4.38367,6.38662,0.217087,21.7584,257,""
3.47126,4.81523,0.115431,21.6577,258,""
5.33402,5.52543,0.17354,20.3185,259,""
3.90057,3.22182,0.0811859,18.7296,260,""
3.9038,2.80322,0.0566103,22.5785,261,""
5.04065,5.80278,0.144462,19.9246,262,""
4.41006,3.15119,0.0557413,19.8973,263,""
4.70307,4.33961,0.101697,25.0329,264,""
4.18904,2.88033,0.0540151,20.2432,265,""
3.75719,3.40131,0.0862072,14.8686,266,""
4.85537,4.22621,0.105452,20.9972,267,""
5.13647,5.55654,0.145879,23.2405,268,""
4.26783,9.41015,0.311709,17.9131,269,""
3.83245,2.67232,0.0631537,17.5321,270,""
4.51186,3.45445,0.0759197,21.1744,271,""
5.34522,6.57065,0.161631,20.6976,272,""
4.74411,3.75317,0.0849475,17.3606,273,""
4.14415,5.1347,0.182381,16.4135,274,""
4.73353,12.4479,0.380963,22.4005,275,""
4.80366,5.51377,0.180404,25.9299,276,""
5.03583,5.75482,0.192686,23.5298,277,""
3.15778,3.05593,0.0883942,23.636,278,""
5.11038,8.0714,0.241377,21.3222,279,""
5.01292,5.88701,0.187857,21.3116,280,""
5.1926,5.99588,0.166752,23.2988,281,""
3.78162,4.6798,0.11427,17.3819,282,""
3.97866,6.11511,0.20719,17.0466,283,""
4.82866,8.37077,0.29962,13.994,284,""
4.71931,5.65827,0.152784,16.3397,285,""
4.44695,3.89638,0.10344,12.4962,286,""
4.13751,3.32744,0.0755523,17.6346,287,""
4.19251,3.47648,0.0665362,17.1823,288,""
3.86377,3.50499,0.0834837,15.6451,289,""
3.34498,2.50255,0.0612292,14.6191,290,""
3.8679,3.06047,0.0720532,12.6224,291,""
3.80115,4.56576,0.144923,19.0776,292,""
4.58766,5.26948,0.152901,16.1387,293,""
4.0502,3.60284,0.0945585,24.2313,294,""
4.65766,5.88701,0.16814,29.9608,295,""
4.55264,5.08545,0.13183,26.9489,296,""
2.93759,3.93072,0.147209,29.7951,297,""
4.29826,5.88313,0.199457,22.0134,298,""
3.10018,3.10972,0.0744034,18.7798,299,""
4.16173,4.29425,0.129556,22.5799,300,""
4.14658,4.25602,0.114544,25.0993,301,""
4.44395,5.11914,0.134764,25.9214,302,""
4.31326,3.6644,0.0842943,26.5175,303,""
3.69006,2.69759,0.0538693,25.9895,304,""
3.81126,5.70039,0.164512,25.279,305,""
5.05184,7.35342,0.231847,23.6149,306,""
4.78414,5.13664,0.171557,15.9008,307,""
4.88124,5.33557,0.156301,14.3851,308,""
4.64941,8.13037,0.247646,14.4535,309,""
4.34118,6.17148,0.192488,16.3928,310,""
4.45222,4.38691,0.121216,16.736,311,""
4.41208,3.54452,0.0795763,14.9718,312,""
4.37644,3.69745,0.0949084,17.7402,313,""
