"muscles_p1-final.Label-Analysis---orientation"
"BaryCenterX","BaryCenterY","BaryCenterZ","Length3d","Length3dInputX","Length3dInputY","Length3dInputZ","Length3dOutputX","Length3dOutputY","Length3dOutputZ","LengthOrientPhi","LengthOrientTheta","Volume3d","index"
31.156,31.6014,36.4297,1.83952,31.5178,31.8418,35.5138,31.0498,31.5178,37.2958,5.72958,180,0.041978,93
30.1218,31.4937,36.1517,2.29758,30.6358,31.6618,35.1718,29.8618,31.5178,37.3498,31.1165,-166.64,0.0434768,94
30.4391,31.9885,36.2051,1.59505,30.7258,32.2198,35.4418,30.2578,31.8958,36.9538,31.1165,-166.64,0.0222429,95
30.876,31.8631,36.2576,1.65796,31.2298,32.1118,35.6038,30.5098,31.8058,37.0438,31.1165,-166.64,0.0292995,96
31.1242,31.3098,36.3951,2.04895,31.6798,31.6798,35.5498,30.8158,31.1578,37.3318,31.1165,-166.64,0.0382165,97
30.7767,31.1456,36.2501,2.30697,31.0678,31.0138,35.1178,30.5818,31.1938,37.3678,5.72958,180,0.0349156,98
31.6379,32.5109,36.2629,1.48274,32.1298,32.7058,35.7838,31.1938,32.4538,36.8998,31.1165,-166.64,0.033201,99
31.8706,32.1737,36.2073,1.33374,32.3098,32.2558,35.8018,31.4998,32.0758,36.8278,31.1165,-166.64,0.019846,100
31.8933,32.0291,36.3656,1.06691,32.1838,32.0038,35.9458,31.7698,32.0038,36.9178,31.1165,-166.64,0.00839211,101
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,102
31.762,31.7466,36.0898,0.827951,31.9318,31.7878,35.7658,31.5718,31.6258,36.4678,31.1165,-166.64,0.00580274,103
31.4059,31.6756,36.3194,1.40494,31.8238,31.8238,35.6578,31.2478,31.4818,36.8818,31.1165,-166.64,0.0172858,104
31.4261,31.0734,36.3573,1.80543,31.6258,31.2298,35.5858,31.3198,30.9058,37.3498,5.72958,180,0.0527087,105
31.6625,31.0406,36.4409,1.75889,31.9138,31.1398,35.4778,31.5358,31.0678,37.1878,5.72958,180,0.0383448,106
31.6543,31.2564,36.3244,1.32009,31.9318,31.3018,35.7658,31.4818,31.1398,36.9898,31.1165,-166.64,0.0160261,107
