"muscles_p1-final.Label-Analysis"
"Volume3d","Length3d","LengthOrientPhi","LengthOrientTheta","index","Materials"
0,-inf,5.72958,180,203,""
0,-inf,5.72958,180,204,""
0,-inf,5.72958,180,205,""
0,-inf,5.72958,180,206,""
0,-inf,5.72958,180,207,""
0,-inf,5.72958,180,208,""
0,-inf,5.72958,180,209,""
0,-inf,5.72958,180,210,""
0,-inf,5.72958,180,211,""
0,-inf,5.72958,180,212,""
0,-inf,5.72958,180,213,""
0,-inf,5.72958,180,214,""
0,-inf,5.72958,180,215,""
0,-inf,5.72958,180,216,""
0,-inf,5.72958,180,217,""
0,-inf,5.72958,180,218,""
0,-inf,5.72958,180,219,""
0,-inf,5.72958,180,220,""
0,-inf,5.72958,180,221,""
0,-inf,5.72958,180,222,""
0,-inf,5.72958,180,223,""
0,-inf,5.72958,180,224,""
0,-inf,5.72958,180,225,""
0,-inf,5.72958,180,226,""
0,-inf,5.72958,180,227,""
0,-inf,5.72958,180,228,""
0,-inf,5.72958,180,229,""
0,-inf,5.72958,180,230,""
0,-inf,5.72958,180,231,""
0,-inf,5.72958,180,232,""
0,-inf,5.72958,180,233,""
0.0484923,1.50035,31.1165,-166.64,234,""
0.0402635,1.31974,31.1165,-166.64,235,""
0,-inf,5.72958,180,236,""
0,-inf,5.72958,180,237,""
0,-inf,5.72958,180,238,""
0,-inf,5.72958,180,239,""
0,-inf,5.72958,180,240,""
0,-inf,5.72958,180,241,""
0,-inf,5.72958,180,242,""
0,-inf,5.72958,180,243,""
0,-inf,5.72958,180,244,""
0,-inf,5.72958,180,245,""
0,-inf,5.72958,180,246,""
0,-inf,5.72958,180,247,""
0,-inf,5.72958,180,248,""
0,-inf,5.72958,180,249,""
0,-inf,5.72958,180,250,""
0,-inf,5.72958,180,251,""
0,-inf,5.72958,180,252,""
0,-inf,5.72958,180,253,""
0.217087,4.38367,27.6049,91.7724,254,""
0,-inf,5.72958,180,255,""
0,-inf,5.72958,180,256,""
0,-inf,5.72958,180,257,""
0,-inf,5.72958,180,258,""
0,-inf,5.72958,180,259,""
0,-inf,5.72958,180,260,""
0,-inf,5.72958,180,261,""
0,-inf,5.72958,180,262,""
0,-inf,5.72958,180,263,""
0,-inf,5.72958,180,264,""
0,-inf,5.72958,180,265,""
0,-inf,5.72958,180,266,""
0,-inf,5.72958,180,267,""
0,-inf,5.72958,180,268,""
0,-inf,5.72958,180,269,""
0,-inf,5.72958,180,270,""
0,-inf,5.72958,180,271,""
0,-inf,5.72958,180,272,""
0,-inf,5.72958,180,273,""
0,-inf,5.72958,180,274,""
0,-inf,5.72958,180,275,""
0,-inf,5.72958,180,276,""
0.187857,5.01292,27.6049,91.7724,277,""
0,-inf,5.72958,180,278,""
0,-inf,5.72958,180,279,""
0,-inf,5.72958,180,280,""
0,-inf,5.72958,180,281,""
0,-inf,5.72958,180,282,""
0,-inf,5.72958,180,283,""
0,-inf,5.72958,180,284,""
0,-inf,5.72958,180,285,""
0,-inf,5.72958,180,286,""
0,-inf,5.72958,180,287,""
0,-inf,5.72958,180,288,""
0,-inf,5.72958,180,289,""
0,-inf,5.72958,180,290,""
0.0945585,4.0502,27.6049,91.7724,291,""
0.175138,4.65766,22.6546,29.5546,292,""
0,-inf,5.72958,180,293,""
0,-inf,5.72958,180,294,""
0,-inf,5.72958,180,295,""
0,-inf,5.72958,180,296,""
0,-inf,5.72958,180,297,""
0,-inf,5.72958,180,298,""
0,-inf,5.72958,180,299,""
0,-inf,5.72958,180,300,""
0,-inf,5.72958,180,301,""
0.164512,3.81126,22.6546,29.5546,302,""
0.262511,5.08455,27.6049,91.7724,303,""
0.171557,4.78414,27.6049,91.7724,304,""
0.156301,4.88124,27.6049,91.7724,305,""
0.247646,4.64941,5.72958,180,306,""
0.192488,4.34118,27.6049,91.7724,307,""
0.121216,4.45222,27.6049,91.7724,308,""
0.0795763,4.41208,27.6049,91.7724,309,""
0.0949084,4.37644,27.6049,91.7724,310,""
0.158744,4.03626,27.6049,91.7724,311,""
0.119624,4.18475,27.6049,91.7724,312,""
0.0752082,4.05833,27.6049,91.7724,313,""
0.124902,4.34745,27.6049,91.7724,314,""
0.0751091,3.51647,22.6546,29.5546,315,""
0.120044,3.90014,27.6049,91.7724,316,""
0.106753,4.05131,5.72958,180,317,""
0.132787,3.36333,27.6049,91.7724,318,""
0.0791214,3.27405,5.72958,180,319,""
0.150551,3.38696,5.72958,180,320,""
0.0643667,3.43878,5.72958,180,321,""
0.0735403,3.57603,27.6049,91.7724,322,""
0.0880851,4.10078,27.6049,91.7724,323,""
0.051484,4.09307,27.6049,91.7724,324,""
0.0603894,3.25608,5.72958,180,325,""
0.0892281,3.44984,27.6049,91.7724,326,""
0.0344432,2.47876,5.72958,180,327,""
0,-inf,5.72958,180,328,""
0,-inf,5.72958,180,329,""
0.0193036,1.10688,5.72958,180,330,""
0,-inf,5.72958,180,331,""
0.0371959,2.43749,22.6546,29.5546,332,""
0,-inf,5.72958,180,333,""
0,-inf,5.72958,180,334,""
0,-inf,5.72958,180,335,""
0,-inf,5.72958,180,336,""
0,-inf,5.72958,180,337,""
0,-inf,5.72958,180,338,""
0,-inf,5.72958,180,339,""
0.0557413,2.77369,22.6546,29.5546,340,""
0.113022,4.39386,27.6049,91.7724,341,""
0.192674,4.55327,27.6049,91.7724,342,""
0.366978,4.52255,27.6049,91.7724,343,""
0.0777451,4.45072,27.6049,91.7724,344,""
0.191059,4.70738,27.6049,91.7724,345,""
0.0533444,4.43838,27.6049,91.7724,346,""
0.0577009,3.79828,27.6049,91.7724,347,""
0.0178515,1.74619,5.72958,180,348,""
0.0258995,3.24344,27.6049,91.7724,349,""
0.0839444,2.88449,27.6049,91.7724,350,""
0.0445499,3.86217,27.6049,91.7724,351,""
0.0686532,3.49806,27.6049,91.7724,352,""
