,inputPlaneDists,centerPlaneDists,outputPlaneDists,inputTipDists,centerTipDists,outputTipDists,intputTipPointX,intputTipPointY,intputTipPointZ,centerTipPointX,centerTipPointY,centerTipPointZ,outputTipPointX,outputTipPointY,outputTipPointZ
196,290.31879029783795,240.51195396487051,217.41665069630707,72,71,67,1432,900,1001,1423,897,1001,1421,895,1005
197,213.7779221528734,261.19150062741323,327.98475574331195,67,71,72,1421,895,1005,1425,898,1001,1436,901,1001
198,137.77155003846042,137.09121051329294,146.54692081377897,74,74,72,1423,897,998,1425,898,998,1440,902,1001
199,175.3681841155915,205.78143745245828,263.19764436635825,59,69,72,1420,892,1012,1422,896,1003,1432,900,1001
200,262.84976697726023,200.61405733397646,169.1892431568863,73,71,67,1448,904,1000,1425,898,1001,1421,895,1005
201,222.0,358.5875067539303,563.0435151922096,70,71,72,1421,895,1002,1425,898,1001,1432,900,1001
202,245.54836590781866,374.4395812410862,620.2289899706398,70,74,71,1421,895,1002,1425,898,998,1425,898,1001
203,288.38342532122056,268.3598330600166,253.01580978270903,74,74,70,1423,897,998,1423,897,998,1421,895,1002
204,673.0534897019701,591.9898647781058,539.7110337949373,74,74,71,1425,898,998,1425,898,998,1425,898,1001
205,555.8938747638797,417.25771412881033,327.34538334914697,190,190,74,1462,905,882,1460,904,882,1423,897,998
206,573.320154887302,426.03051533898366,297.2759660652035,190,190,74,1462,905,882,1460,904,882,1423,897,998
207,437.75107081536646,513.2046375472459,594.9672259881212,192,192,196,1460,904,880,1462,905,880,1465,906,877
208,436.9221898690887,339.9911763560931,250.14195969489006,358,278,192,1606,982,734,1500,922,798,1460,904,880
209,303.11878859615416,263.27552108010343,249.19069003476034,196,192,192,1465,906,877,1460,904,880,1460,904,880
210,225.92255310172112,304.33862719017446,390.0884515081163,192,197,192,1460,904,880,1502,916,877,1587,936,883
211,300.23157728660055,338.92329515688357,384.1392976512557,278,352,358,1500,922,798,1592,975,738,1606,982,734
212,376.7200552134171,294.3144576808961,215.41819793137256,362,282,267,1607,983,731,1502,923,795,1495,918,808
213,298.27168823071355,234.86804806103362,166.29191201017565,362,325,267,1607,983,731,1524,935,755,1495,918,808
214,373.25996302845016,310.9163874741889,257.7925522585942,361,323,198,1605,982,732,1522,934,756,1462,904,874
215,389.08225351460067,339.19021212293256,304.7310289419179,358,352,282,1606,982,734,1592,975,738,1502,923,795
216,303.85851970942,356.7323926979438,411.4474450036116,278,282,352,1500,922,798,1502,923,795,1592,975,738
217,233.33023807470818,289.47366028708035,345.7296631763031,279,325,362,1499,921,797,1524,935,755,1607,983,731
218,232.52096679654503,282.97879779234347,329.61947757982995,325,352,362,1522,934,754,1592,975,738,1607,983,731
219,417.0047961354881,386.78805565839286,346.1054752528483,353,352,325,1592,975,737,1592,975,738,1522,934,754
220,371.5561868681505,332.6229096138749,282.23040233114506,363,354,325,1605,982,730,1592,975,736,1522,934,754
221,337.08307581366347,290.7731074222649,245.49745416195256,362,352,325,1607,983,731,1592,975,738,1522,934,754
222,332.29655430052236,292.9573347776089,267.8451044913832,362,352,325,1607,983,731,1592,975,738,1522,934,754
223,311.46588898304736,452.98565098687175,581.6562558762693,192,192,192,1460,904,880,1462,905,880,1465,906,881
224,313.50598080419456,372.02419276170735,480.8856412911494,198,198,282,1462,904,874,1462,904,874,1502,923,795
225,357.4437018608665,330.2741285659535,305.8855995302819,198,192,192,1462,904,874,1460,904,880,1460,904,880
226,430.19762900322917,368.60412368827343,329.893922344744,192,192,192,1460,904,880,1460,904,880,1460,904,880
227,515.5327341692281,432.528611770366,368.71804946327217,192,192,192,1462,905,880,1460,904,880,1460,904,880
228,376.37348471963327,411.7244223992548,458.48664102675883,278,352,352,1500,922,798,1592,975,738,1592,975,738
229,436.15364265359517,462.48567545384583,497.7368782800808,278,352,352,1500,922,798,1592,975,738,1592,975,738
230,469.80315026615136,523.3134815767696,597.7758777334528,74,75,75,1425,898,998,1432,900,998,1440,902,998
231,434.4110956225681,493.72563231009184,586.9880748362781,74,74,75,1425,898,998,1425,898,998,1444,903,998
232,501.0319351099289,566.0053003285393,616.640089517378,74,74,74,1423,897,998,1425,898,998,1425,898,998
233,680.0007352937201,582.0566982691635,494.4795243485821,325,279,198,1522,934,754,1499,921,797,1462,904,874
234,483.8233148578105,543.3120650234081,624.8151726710868,198,279,278,1462,904,874,1499,921,797,1500,922,798
235,682.0461861193859,587.6231785762029,523.1156659860227,325,325,279,1522,934,754,1522,934,754,1499,921,797
236,652.0820500519854,541.8053155885424,454.1981946243292,325,325,279,1522,934,754,1522,934,754,1499,921,797
237,595.6005372730955,514.1877089157227,417.59909003732275,325,325,279,1522,934,754,1522,934,754,1499,921,797
238,477.7677259924534,567.9947182853024,664.0075300777846,325,325,325,1522,934,754,1522,934,754,1522,934,754
239,674.7925607177365,577.1317007408275,469.6605156919197,325,325,279,1522,934,754,1522,934,754,1499,921,797
240,677.2023331324251,542.4186574962185,462.61322938281825,325,279,279,1522,934,754,1499,921,797,1499,921,797
241,633.0410729170738,530.6835215078758,445.2707041789298,325,325,279,1522,934,754,1522,934,754,1499,921,797
242,651.1796987007504,584.0573601967533,533.1134963588898,325,325,325,1522,934,754,1522,934,754,1522,934,754
243,548.3520766806669,600.8735307866373,680.8245001466971,325,325,325,1522,934,754,1522,934,754,1522,934,754
244,676.2492144172886,598.3251624326024,528.0407181269263,325,325,279,1522,934,754,1522,934,754,1499,921,797
245,56.753854494650845,101.72020448268869,102.22524150130437,326,198,73,1529,936,754,1556,928,876,1562,925,999
246,26.248809496813376,69.49100661236676,77.09734106958553,363,188,64,1631,990,731,1637,946,887,1625,932,1006
247,70.27090436304346,70.66823897621902,99.06058752097123,195,149,1,1676,949,878,1670,952,926,1671,927,1066
248,107.35921013122255,137.87675656179326,174.6339027795004,354,348,173,1592,975,736,1592,973,742,1610,941,902
249,186.04838080456383,193.89430110243055,239.86037605240261,363,352,195,1605,982,730,1592,975,738,1592,937,880
250,103.13583276436954,100.40916292848975,93.31130692472375,364,166,66,1633,991,730,1644,950,910,1655,938,1004
251,320.4652867316521,261.6658174083883,219.30344274543435,192,74,72,1460,904,880,1425,898,998,1432,900,1001
252,300.2565569642069,287.1393389976372,308.4898701740464,279,190,73,1499,921,797,1462,905,882,1458,906,1000
253,274.87815482500605,205.44829033116824,191.92185909895724,192,74,71,1460,904,880,1425,898,998,1473,908,1002
254,427.1042027421411,366.2471842895178,345.74123271602997,325,278,190,1522,934,754,1500,922,798,1462,905,882
255,278.8207309365643,277.7372859376285,284.8964724246336,325,278,74,1522,934,754,1500,922,798,1458,906,999
256,78.66384175718855,124.36237373096414,114.16216536138407,364,342,134,1633,991,730,1605,974,747,1559,927,940
257,50.25932749251625,79.51729371652434,82.58934555982388,329,198,176,1587,959,755,1578,933,876,1577,932,898
258,93.89888178247918,134.82952198980755,155.61490931141526,325,352,364,1522,934,754,1592,975,738,1633,991,730
259,97.74968030638259,136.19838471876236,180.22763384120648,279,324,358,1499,921,797,1533,937,756,1634,989,735
260,105.38026380684383,138.45215780189199,168.81646839097186,278,343,362,1500,922,798,1587,969,745,1632,990,732
261,236.71501853494635,180.8562965450747,108.57716150277645,362,283,198,1632,990,732,1505,924,794,1462,904,874
262,242.21890925359233,207.51144546747295,180.70417814760123,358,348,197,1634,989,735,1592,973,742,1498,915,877
263,264.3066400982011,189.54946583939508,126.97637575549241,356,265,198,1634,988,737,1498,919,810,1462,904,874
264,178.86866690396056,201.5589243868899,251.10356429170812,198,265,343,1462,904,874,1495,918,810,1587,969,745
265,296.2718346383942,259.53419813196103,240.35390573069537,362,352,323,1607,983,731,1592,975,738,1522,934,756
266,277.10647773013176,191.30603754194482,123.8305293536291,167,194,130,1673,957,910,1537,925,881,1439,892,939
267,192.59543089076647,140.94679847375036,92.46621004453465,164,190,130,1607,940,911,1508,917,884,1439,892,939
268,141.6368596093545,185.32404053441098,229.63884688789045,192,196,195,1460,904,880,1469,907,877,1545,927,880
269,180.9253989908548,151.09268678529745,112.22744762311936,280,265,198,1503,923,797,1495,918,810,1462,904,874
270,190.5465822312224,196.22690946962396,250.59529125663954,192,196,195,1460,904,880,1465,906,877,1545,927,880
271,206.0242704149198,156.9968152543229,129.12784362793332,195,196,192,1569,932,880,1477,909,877,1460,904,880
272,111.70496855556605,136.47710430691296,185.03513179934237,130,192,141,1439,892,939,1477,909,881,1566,929,933
