"muscles_p1-dorsal.Label-Analysis---dorsal"
"Volume3d","Length3d","index","Materials"
0.118627,2.74759,132,""
0,-inf,133,""
0.0521022,2.19957,134,""
0,-inf,135,""
0.0323729,2.23893,136,""
0.0226569,2.37114,137,""
0.0256079,2.36969,138,""
0.0325245,2.37418,139,""
0.0656964,2.78156,140,""
0.0413948,2.72968,141,""
0.0201434,1.80543,142,""
0.0230185,2.15477,143,""
0.0260744,2.39299,144,""
0.0577417,2.80677,145,""
0.0315156,2.07953,146,""
0.0184521,1.9595,147,""
0.00512624,1.14341,148,""
0.0106257,1.47295,149,""
0.0199043,1.47233,150,""
0.0152563,1.23771,151,""
0.00815883,1.22684,152,""
0.00556364,0.851693,153,""
0.00767478,1.01224,154,""
0.00687581,0.971216,155,""
0.00707993,1.00762,156,""
0.00647341,1.04538,157,""
0.0082813,0.856748,158,""
0.00345249,0.634567,159,""
0.0259053,1.46579,160,""
0.0246864,1.89858,161,""
0.127456,3.42272,162,""
0.0433252,3.23104,163,""
0.0717791,3.37079,164,""
0.0198518,1.28958,165,""
0,-inf,166,""
0,-inf,167,""
0,-inf,168,""
0,-inf,169,""
0,-inf,170,""
0,-inf,171,""
0,-inf,172,""
0,-inf,173,""
0,-inf,174,""
0,-inf,175,""
0,-inf,176,""
0,-inf,177,""
0,-inf,178,""
0,-inf,179,""
0,-inf,180,""
0,-inf,181,""
0,-inf,182,""
0,-inf,183,""
0,-inf,184,""
0,-inf,185,""
0.0341225,1.69426,186,""
0,-inf,187,""
0,-inf,188,""
0,-inf,189,""
0,-inf,190,""
0,-inf,191,""
0,-inf,192,""
0,-inf,193,""
0,-inf,194,""
0,-inf,195,""
0,-inf,196,""
0,-inf,197,""
0,-inf,198,""
0,-inf,199,""
0,-inf,200,""
0,-inf,201,""
0,-inf,202,""
0,-inf,203,""
0,-inf,204,""
0,-inf,205,""
0,-inf,206,""
0,-inf,207,""
0,-inf,208,""
0,-inf,209,""
0,-inf,210,""
0,-inf,211,""
0,-inf,212,""
0,-inf,213,""
0,-inf,214,""
0,-inf,215,""
0,-inf,216,""
0,-inf,217,""
0,-inf,218,""
0,-inf,219,""
0,-inf,220,""
0,-inf,221,""
0,-inf,222,""
0,-inf,223,""
0,-inf,224,""
0,-inf,225,""
0,-inf,226,""
0,-inf,227,""
0,-inf,228,""
0,-inf,229,""
0,-inf,230,""
0,-inf,231,""
0,-inf,232,""
0,-inf,233,""
0.0484923,1.50035,234,""
0.0402635,1.31974,235,""
0,-inf,236,""
0,-inf,237,""
0,-inf,238,""
0,-inf,239,""
0,-inf,240,""
0,-inf,241,""
0,-inf,242,""
0,-inf,243,""
0,-inf,244,""
0,-inf,245,""
0,-inf,246,""
0,-inf,247,""
0,-inf,248,""
0,-inf,249,""
0,-inf,250,""
0,-inf,251,""
0,-inf,252,""
0,-inf,253,""
0.217087,4.38367,254,""
0,-inf,255,""
0,-inf,256,""
0,-inf,257,""
0,-inf,258,""
0,-inf,259,""
0,-inf,260,""
0,-inf,261,""
0,-inf,262,""
0,-inf,263,""
0,-inf,264,""
0,-inf,265,""
0,-inf,266,""
0,-inf,267,""
0,-inf,268,""
0,-inf,269,""
0,-inf,270,""
0,-inf,271,""
0,-inf,272,""
0,-inf,273,""
0,-inf,274,""
