,input2planeDistance,barycenter2planeDistance,output2planeDistance,input2planePointX,input2planePointY,input2planePointZ,barycenter2planePointX,barycenter2planePointY,barycenter2planePointZ,output2planePointX,output2planePointY,output2planePointZ
1106,3.696515139157655,2.538751737645674,1.2942416266106185,21.9418781,7.2719596,17.8919006,22.3378759,8.5679524,18.0538997,22.4818751,9.6479464,18.0718996
1107,2.7370503760492277,2.083016991993565,1.6404615504433684,22.049877499999997,8.279954,17.8919006,22.2658763,9.0359498,17.963900199999998,22.2658763,9.539947,17.9279004
1108,4.702936768305805,3.348707123763753,2.0085823789241304,22.2658763,7.559958,18.0718996,22.3378759,8.9639502,18.0178999,22.3378759,10.1159438,17.945900299999998
1109,4.161442968554837,3.333530939940858,2.6412054991263574,21.8698785,8.3519536,17.7659013,22.2658763,9.0359498,17.963900199999998,21.9418781,9.8639452,17.7119016
1110,4.260276321104088,2.9767938357020123,2.0570349982755762,21.8698785,7.3799589999999995,17.837900899999998,22.2658763,8.639952,17.9999,22.1218771,9.6479464,17.837900899999998
1111,3.9889175479685086,2.800185150421666,1.508773908334267,22.3378759,7.4879584,18.1258993,22.7338737,8.459953,18.3238982,22.3378759,10.1159438,17.945900299999998
1112,5.010992416395679,3.9952480076827093,3.0990161808381087,26.117854899999998,6.5519636,19.3138927,24.2458653,8.4959528,18.9358948,23.6338687,10.439942,18.6658963
1113,5.496722685976848,4.400966347587516,3.471508331370092,26.117854899999998,6.5519636,19.3138927,23.741868099999998,8.4239532,18.719896,23.2738707,10.5119416,18.5038972
1114,6.195862607836365,4.470828771695124,2.920036516734537,21.9418781,7.2719596,17.8919006,22.2658763,8.639952,17.9999,22.2658763,10.1879434,17.8919006
1115,5.810065483335097,4.0812565374543786,2.72524668194078,22.2658763,6.9119616,18.1078994,22.3378759,8.9639502,18.0178999,22.2658763,10.1879434,17.8919006
1116,5.841348891365173,4.296927140104875,3.142774292612317,22.2658763,7.559958,18.0718996,22.3378759,8.9639502,18.0178999,22.2658763,10.1879434,17.8919006
1117,5.252949400408466,3.8775477996878465,2.4880263701558833,21.8698785,7.3799589999999995,17.837900899999998,22.3378759,8.9639502,18.0178999,22.2658763,10.1879434,17.8919006
1118,4.683226697724224,3.6134098748969774,2.3365229166795043,22.049877499999997,7.7039572,17.9279004,22.3378759,8.9639502,18.0178999,22.3378759,10.1159438,17.945900299999998
1119,4.757867639215985,3.4573399002078067,2.128940027276459,22.2658763,7.559958,18.0718996,22.3378759,8.9639502,18.0178999,22.3378759,10.1159438,17.945900299999998
1120,5.544612016304555,4.156418174935387,2.916483754362868,21.6178799,8.0279554,17.6219021,21.8698785,8.8919506,17.7299015,21.7978789,10.079944,17.6039022
1121,5.663021425510398,4.597662136983581,3.2450280425175078,22.2658763,7.559958,18.0718996,22.3378759,8.9639502,18.0178999,22.2658763,10.1879434,17.8919006
1122,5.031543570712806,3.8723637981551806,2.584224022217524,22.2658763,7.559958,18.0718996,22.3378759,8.9639502,18.0178999,22.4818751,10.295942799999999,18.0358998
1123,4.814224597826252,3.8526093859692168,3.1202711132689256,22.2658763,8.639952,17.9999,22.2658763,9.0359498,17.963900199999998,22.1218771,10.295942799999999,17.8019011
1124,4.9501361327499165,4.109105546237664,3.3457548655491034,21.6178799,8.4959528,17.5859023,21.8698785,9.3959478,17.693901699999998,21.6178799,10.1519436,17.4779029
1125,3.6747138609171706,2.829192652020546,2.1797722830944175,23.741868099999998,8.4239532,18.719896,23.489869499999998,9.179948999999999,18.6298965,22.7338737,10.259943,18.215898799999998
1126,4.607904087354178,3.479013296205344,2.2964514806463407,23.741868099999998,7.559958,18.755895799999998,23.741868099999998,8.4239532,18.719896,22.7338737,10.259943,18.215898799999998
1127,5.460500407153202,4.279171010764254,3.2366302849604756,23.9218671,6.4079644,18.8278954,23.741868099999998,8.4239532,18.719896,22.7338737,10.259943,18.215898799999998
