"muscles_p1-final.Label-Analysis"
"Volume3d","Flatness","FirstPointZ","FeretShape3d","index"
0.0881434,0.303847,362,8.49831,408
0.0922082,0.250048,360,11.4095,409
0.07487,0.46663,364,9.45708,410
0.0540151,0.559168,381,9.27438,411
0.0997489,0.673806,369,9.83088,412
0.0589955,0.371625,368,12.4948,413
0.0674518,0.461992,355,12.0581,414
0.175103,0.271635,335,12.5406,415
0.0904995,0.542447,357,13.0688,416
0.125619,0.529627,378,8.97631,417
0.052178,0.743911,449,9.55605,418
0.0990957,0.385768,368,15.5114,419
0.0514491,0.523144,395,13.3823,420
0.0373883,0.622793,441,8.53775,421
0.0598412,0.464579,356,12.1999,422
0.0689389,0.316719,371,10.9623,423
0.0757448,0.631186,359,11.6003,424
0.0725955,0.475433,390,7.66513,425
0.103388,0.42264,370,8.94562,426
0.0451973,0.345462,374,10.7771,427
0.107342,0.580474,368,10.1559,428
0.154773,0.442468,372,9.29632,429
0.149063,0.275599,364,7.6218,430
0.0772494,0.612919,383,12.9659,431
0.132303,0.365715,386,9.43573,432
0.155998,0.714002,368,11.9976,433
0.103919,0.507173,393,10.544,434
0.062588,0.630975,368,10.7177,435
0.0925406,0.530053,387,8.61359,436
0.060576,0.259255,408,9.63329,437
0.14427,0.611786,380,10.5734,438
0,-1,-2,nan,439
0.0931005,0.142017,370,8.90968,440
0.0515657,0.290981,384,11.1507,441
0.0553914,0.557715,432,10.2522,442
0.0675509,0.422784,456,6.36172,443
0,-1,-2,nan,444
0,-1,-2,nan,445
0,-1,-2,nan,446
0,-1,-2,nan,447
0,-1,-2,nan,448
0.0758847,0.657897,381,8.79355,449
0.0450981,0.256588,395,8.7908,450
0,-1,-2,nan,451
0.0872103,0.572927,373,12.754,452
0.130221,0.569996,389,11.5313,453
0.0756398,0.712878,448,9.68615,454
0.105272,0.271765,386,12.8638,455
0.0526271,0.571067,437,9.94035,456
0.0603485,0.519214,382,11.0096,457
0.0588556,0.467227,390,12.7955,458
0.116691,0.833565,401,9.26332,459
0.0534436,0.689977,475,10.2656,460
0,-1,-2,nan,461
0,-1,-2,nan,462
0,-1,-2,nan,463
0,-1,-2,nan,464
0,-1,-2,nan,465
0,-1,-2,nan,466
0,-1,-2,nan,467
0.114993,0.540329,470,9.30021,468
0.103545,0.240344,447,8.96613,469
0.0450748,0.487671,508,6.74899,470
0.0291479,0.402318,493,8.20984,471
0.22328,0.524992,413,9.29072,472
0.206502,0.634052,401,8.95184,473
0.0567677,0.692552,429,13.3925,474
0.0486206,0.592828,394,14.1596,475
0.200559,0.438166,405,9.54212,476
0.0233684,0.391981,513,7.84704,477
0.0514257,0.392013,477,8.69365,478
0.106007,0.393806,436,8.82993,479
0.0515249,0.58375,394,11.3771,480
0.162652,0.487655,428,9.90626,481
0.0488014,0.200532,541,7.97327,482
0.0451156,0.400063,581,5.30157,483
0.0892514,0.456406,440,11.3201,484
0,-1,-2,nan,485
0.178882,0.367023,431,8.36493,486
0.0503293,0.262124,412,9.29694,487
0.146929,0.479676,508,6.09561,488
0.0737444,0.322361,491,8.41056,489
0.143208,0.431412,414,9.5661,490
0.0506442,0.425112,476,8.9449,491
0,-1,-2,nan,492
0.130675,0.34984,432,7.54142,493
0.0793255,0.585986,440,8.53618,494
0.0672885,0.413435,442,8.30507,495
0.101184,0.925681,431,10.3836,496
0.0186913,0.503911,612,3.73156,497
0.0704786,0.763977,548,6.67329,498
0,-1,-2,nan,499
0.131247,0.827213,530,7.54134,500
0.0203242,0.388055,555,2.60249,501
0,-1,-2,nan,502
0,-1,-2,nan,503
0,-1,-2,nan,504
0,-1,-2,nan,505
0,-1,-2,nan,506
0,-1,-2,nan,507
0,-1,-2,nan,508
0,-1,-2,nan,509
0,-1,-2,nan,510
0,-1,-2,nan,511
0,-1,-2,nan,512
0,-1,-2,nan,513
0,-1,-2,nan,514
0,-1,-2,nan,515
0,-1,-2,nan,516
0,-1,-2,nan,517
0,-1,-2,nan,518
0,-1,-2,nan,519
0,-1,-2,nan,520
0,-1,-2,nan,521
0,-1,-2,nan,522
0,-1,-2,nan,523
0,-1,-2,nan,524
0.0972178,0.316721,449,7.13665,525
0.127754,0.623022,416,9.91123,526
0.10042,0.807335,411,11.2968,527
0.120213,0.150817,412,7.4843,528
0.0379657,0.408493,402,9.85196,529
0.0501427,0.389616,449,8.24088,530
0.0655623,0.400052,426,7.82241,531
0.0193619,0.12368,412,7.70054,532
0,-1,-2,nan,533
